#起始日期：2016-01-30  终止日期：2016-01-30
#交易金额合计：157笔，共10620.00元
#下载时间：2016-01-30 17:02:07

退款申请时间	微信退款单号	商户退款单号	退款状态	退款成功时间	退款金额(元)	现金券退款金额(元)	微信支付单号	商户订单号	商户号	子商户号	交易金额(元)	appid	下单用户	退款入账账户	退款方式	
2016-01-28 11:12:43	`2002440438201601280138966163	`110309662016012528912744921453950763	"退款成功"	2016-01-28 14:54:47	38.00	0.00	`1002440438201601252891274492	`E2016012514312741632	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs7byfGulJUeo1Q2ZaemDKgw		原路退回
2016-01-28 11:12:17	`2001870438201601280138966160	`110309662016012528900522821453950737	"退款成功"	2016-01-28 14:53:22	38.00	0.00	`1001870438201601252890052282	`E2016012513173451957	1296288001		38.00	wxa9e5e7de9a850cea	odyFWszNhu_R-VGr8B9Ca6jO7ZFU		原路退回
2016-01-28 11:11:45	`2009080438201601280138967926	`110309662016012528898237891453950705	"退款成功"	2016-01-28 15:02:25	38.00	0.00	`1009080438201601252889823789	`E2016012513054528262	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs_9tWbdor3FkZZOy_aQtidk		原路退回
2016-01-28 11:11:19	`2009050438201601280138977657	`110309662016012528896163261453950679	"退款成功"	2016-01-28 13:58:00	38.00	0.00	`1009050438201601252889616326	`E2016012512544270527	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsxugrbN1DtTYQbHFrLFjBMw		原路退回
2016-01-28 11:10:55	`2009040438201601280138971722	`110309662016012528885463841453950655	"退款成功"	2016-01-28 15:04:07	38.00	0.00	`1009040438201601252888546384	`E2016012512033753261	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs_Kc4AH56PvnUBvwIjuu7wY		原路退回
2016-01-28 11:10:28	`2003090438201601280138967919	`110309662016012528862892161453950628	"退款成功"	2016-01-28 14:54:39	38.00	0.00	`1003090438201601252886289216	`E2016012510031680381	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs1G6wJb86I7fVO2uV7orqb8		原路退回
2016-01-28 11:10:04	`2000680438201601280138967910	`110309662016012528858739251453950604	"退款成功"	2016-01-28 13:39:22	38.00	0.00	`1000680438201601252885873925	`E2016012509302539975	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs-BC7rmQzdeamhz9n9KaANA		原路退回
2016-01-28 11:09:30	`2004080438201601280138977635	`110309662016012528858003191453950570	"退款成功"	2016-01-28 13:40:55	38.00	0.00	`1004080438201601252885800319	`E2016012509235882705	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsxDMUo3AuKJoVkOz4HNGpK8		原路退回
2016-01-28 11:08:41	`2006160438201601280138977627	`110309662016012528841160871453950521	"退款成功"	2016-01-28 15:00:21	190.00	0.00	`1006160438201601252884116087	`E2016012501115943124	1296288001		190.00	wxa9e5e7de9a850cea	odyFWs71h8A-6Yfr5Dj51oxoZje0		原路退回
2016-01-28 11:08:15	`2007390438201601280138977623	`110309662016012428745861761453950495	"退款成功"	2016-01-28 13:40:48	38.00	0.00	`1007390438201601242874586176	`E2016012414523577036	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs4sGTTy2e2FIYUzhTqxOgUI		原路退回
2016-01-28 11:07:50	`2003910438201601280138967885	`110309662016012428740695501453950470	"退款成功"	2016-01-28 13:40:16	38.00	0.00	`1003910438201601242874069550	`E2016012414222967237	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs76MiAmP128jlGOkgNP9SC4		原路退回
2016-01-28 11:06:52	`2009300438201601280138970496	`110309662016012428696673001453950412	"退款成功"	2016-01-28 11:14:56	190.00	0.00	`1009300438201601242869667300	`E2016012410232162660	1296288001		190.00	wxa9e5e7de9a850cea	odyFWs0oIfuSK12oKw5-Brt2DbTk		原路退回
2016-01-28 11:06:11	`2000700438201601280138971677	`110309662016012428690717511453950371	"退款成功"	2016-01-28 11:13:20	38.00	0.00	`1000700438201601242869071751	`E2016012409371670475	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs_Lgm3NyV6_XSDBcL1q9IUw		原路退回
2016-01-28 11:05:28	`2009920438201601280138973422	`110309662016012428688428741453950328	"系统退款中"		38.00	0.00	`1009920438201601242868842874	`E2016012409144483309	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs4EaUMerKKhrBtaNl8zT36E		原路退回
2016-01-28 11:04:49	`2009300438201601280138971265	`110309662016012428669444041453950289	"退款成功"	2016-01-28 11:14:56	190.00	0.00	`1009300438201601242866944404	`E2016012400221536163	1296288001		190.00	wxa9e5e7de9a850cea	odyFWs0oIfuSK12oKw5-Brt2DbTk		原路退回
2016-01-28 10:55:16	`2004060438201601280138966012	`110309662016012328642998531453949716	"退款成功"	2016-01-28 11:01:07	38.00	0.00	`1004060438201601232864299853	`E2016012321025656165	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs7fV5OPtIGSp_Jp7lbssODY		原路退回
2016-01-28 10:54:44	`2005120438201601280138962293	`110309662016012328641570211453949684	"退款成功"	2016-01-28 11:02:33	114.00	0.00	`1005120438201601232864157021	`E2016012320544160061	1296288001		114.00	wxa9e5e7de9a850cea	odyFWsx6UMo3WgWe76WYIKaNSz2o		原路退回
2016-01-28 10:53:52	`2002100438201601280138970405	`110309662016012328637218511453949632	"退款成功"	2016-01-28 11:00:48	38.00	0.00	`1002100438201601232863721851	`E2016012320310228996	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs14G0OvtjkpX90fWqpP3ktE		原路退回
2016-01-28 10:53:12	`2008790438201601280138961503	`110309662016012328630645541453949592	"退款成功"	2016-01-28 11:02:30	38.00	0.00	`1008790438201601232863064554	`E2016012319562198497	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsyyLLwxHNvP32RvvbC5U_hU		原路退回
2016-01-28 10:52:34	`2008360438201601280138961874	`110309662016012328596894281453949554	"退款成功"	2016-01-28 11:03:18	38.00	0.00	`1008360438201601232859689428	`E2016012317075440518	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs8DsCM2Lu-RGVrDY-Gl6GQc		原路退回
2016-01-28 10:50:39	`2001040438201601280138961861	`110309662016012328583562881453949439	"退款成功"	2016-01-28 11:00:51	228.00	0.00	`1001040438201601232858356288	`E2016012315545854614	1296288001		228.00	wxa9e5e7de9a850cea	odyFWs9Gcblbgyvcm8qHxNEyOjAQ		原路退回
2016-01-28 10:49:16	`2009210438201601280138958239	`110309662016012328582666181453949356	"退款成功"	2016-01-28 10:56:34	38.00	0.00	`1009210438201601232858266618	`E2016012315493703910	1296288001		38.00	wxa9e5e7de9a850cea	odyFWszkCLdjgIgRKQsocKUYrj4A		原路退回
2016-01-28 10:48:35	`2005130438201601280138962440	`110309662016012328582287691453949315	"退款成功"	2016-01-28 10:54:30	38.00	0.00	`1005130438201601232858228769	`E2016012315480802491	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsy9LusCInEBLeSNOOUu92qQ		原路退回
2016-01-27 18:14:09	`2007130438201601270138573612	`110309662016012328653851851453889649	"退款成功"	2016-01-27 18:29:55	114.00	0.00	`1007130438201601232865385185	`E2016012322085056849	1296288001		114.00	wxa9e5e7de9a850cea	odyFWs4SlTNCY-giy8qAdbmFJ4hI		原路退回
2016-01-27 15:29:49	`2003760438201601270138422741	`110309662016012328660631311453879789	"退款成功"	2016-01-27 15:41:56	38.00	0.00	`1003760438201601232866063131	`E2016012322570704844	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs_nCbZYfG1toU_-dT0kwzsU		原路退回
2016-01-27 15:28:00	`2000480438201601270138429201	`110309662016012528846403541453879680	"退款成功"	2016-01-29 22:36:23	38.00	0.00	`1000480438201601252884640354	`E2016012505252573393	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs0urBrh6Yn0KPhB25DZKTvY		原路退回
2016-01-27 12:25:10	`2009080438201601270138270877	`110309662016012428701539791453868710	"退款成功"	2016-01-28 23:12:36	38.00	0.00	`1009080438201601242870153979	`E2016012410550785893	1296288001		106.00	wxa9e5e7de9a850cea	odyFWs0kCAOpmXnPv3CuE5asMGts		原路退回
2016-01-27 12:10:37	`2003670438201601270138257270	`110309662016012428695127661453867837	"退款成功"	2016-01-28 23:07:05	38.00	0.00	`1003670438201601242869512766	`E2016012410130523756	1296288001		136.00	wxa9e5e7de9a850cea	odyFWs415LNWkvSBi2jb-V3QuHYs		原路退回
2016-01-27 11:32:54	`2006100438201601270138223304	`110309662016012328645459801453865574	"退款成功"	2016-01-27 11:54:54	76.00	0.00	`1006100438201601232864545980	`E2016012321173154026	1296288001		104.00	wxa9e5e7de9a850cea	odyFWs9d1nAUS4XJ1TO2lAltruQM		原路退回
2016-01-27 11:28:12	`2007750438201601270138217120	`110309662016012428703823891453865292	"退款成功"	2016-01-27 11:41:55	38.00	0.00	`1007750438201601242870382389	`E2016012411081016488	1296288001		126.00	wxa9e5e7de9a850cea	odyFWs1sOaydJJtW2o-yJ-EVrS4Q		原路退回
2016-01-27 11:06:20	`2004840438201601270138184372	`110309662016012328626114011453863980	"退款成功"	2016-01-29 22:58:26	110.00	0.00	`1004840438201601232862611401	`E2016012319320742223	1296288001		110.00	wxa9e5e7de9a850cea	odyFWs7L3r1GHrsv3Ee-wWLzhQto		原路退回
2016-01-26 17:53:34	`2009490438201601260137721119	`110309662016012428670233941453802014	"退款成功"	2016-01-26 18:03:17	24.00	0.00	`1009490438201601242867023394	`E2016012400335301107	1296288001		24.00	wxa9e5e7de9a850cea	odyFWs-oYwJtJRHyhjYACPWkgG1I		原路退回
2016-01-26 17:48:56	`2009560438201601260137714088	`110309662016012629127296061453801736	"退款成功"	2016-01-26 18:01:38	36.00	0.00	`1009560438201601262912729606	`E2016012616533751641	1296288001		36.00	wxa9e5e7de9a850cea	odyFWsxH_pzYep6UbPbJYvqXBooE		原路退回
